X,Y,DESCRIPTION,LAYER,ELEVATION,HEIGHT_ABO,CLASS,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,RED,GREEN,BLUE,NIR,NDVI,NDWI,SOURCE_ID,SCANNER_CH,USER_DATA,KEY_POINT,ID,ERALDISE_N,KVARTALI_N,KATASTRI_N,key6,TO+ID_tree,TO+ID_1 bi,TO+ID_1 sp,TO+ID_1 pi,TO+ID_1 al,TO+ID_1 la,TO+ID_1 co,TO+ID_1 as,TO+ID_1 wi,TO+ID_1 gr
691979.860,6468806.270,Ground,Ground,31.21,0.035  m,2,53345,10.0,1,1,238572865.7878660,41728,38912,30720,49664,0.09,-0.12,19291,1,0,,392938.000000000000000,32.000000000000000,,91501:008:0029,if(91501:008:0029="KATASTRI_N" and ="KVARTALI_N" and 32="ERALDISE_N";392938,,,,,,,,,,
691979.820,6468807.220,Ground,Ground,31.26,0.075  m,2,54219,10.0,1,1,238572865.8010507,38400,34816,27904,45312,0.08,-0.13,19291,1,0,,392938.000000000000000,32.000000000000000,,91501:008:0029,if(91501:008:0029="KATASTRI_N" and ="KVARTALI_N" and 32="ERALDISE_N";392938,,,,,,,,,,
691935.230,6468864.910,Ground,Ground,30.98,0.03  m,2,47665,10.0,1,1,238572869.4860844,29696,29184,25344,40448,0.15,-0.16,19291,0,0,,1557203.000000000000000,5.000000000000000,,91501:008:0081,if(91501:008:0081="KATASTRI_N" and ="KVARTALI_N" and 5="ERALDISE_N";1557203,,,,,,,,,,
691934.380,6468864.840,Ground,Ground,31.03,0.09  m,2,48015,10.0,1,1,238572869.4860872,26112,24832,19712,36096,0.16,-0.18,19291,0,0,,1557203.000000000000000,5.000000000000000,,91501:008:0081,if(91501:008:0081="KATASTRI_N" and ="KVARTALI_N" and 5="ERALDISE_N";1557203,,,,,,,,,,
691028.640,6468883.360,Ground,Ground,33.56,0.0099999998  m,2,49653,-9.0,1,1,238572870.7285818,18176,22016,14592,44544,0.42,-0.34,19291,0,0,Y,,,,,,,,,,,,,,,
691027.730,6468883.280,Ground,Ground,33.55,0  m,2,48430,-9.0,1,1,238572870.7285846,21248,25600,17408,49152,0.40,-0.32,19291,0,0,,,,,,,,,,,,,,,,
691026.920,6468883.220,Ground,Ground,33.55,0  m,2,46158,-9.0,1,1,238572870.7285873,25088,29184,19968,52224,0.35,-0.28,19291,0,0,,,,,,,,,,,,,,,,
691026.050,6468883.140,Ground,Ground,33.57,0.02  m,2,47054,-9.0,1,1,238572870.7285902,24320,28672,19968,54272,0.38,-0.31,19291,0,0,,,,,,,,,,,,,,,,
691025.160,6468883.070,Ground,Ground,33.56,0.028  m,2,46682,-9.0,1,1,238572870.7285930,19968,25088,15616,48896,0.42,-0.32,19291,0,0,,,,,,,,,,,,,,,,
691024.360,6468883.000,Ground,Ground,33.53,0  m,2,46376,-9.0,1,1,238572870.7285957,23808,29696,18944,55296,0.40,-0.30,19291,0,0,,,,,,,,,,,,,,,,
691023.470,6468882.930,Ground,Ground,33.57,0.047  m,2,45109,-9.0,1,1,238572870.7285986,22272,25600,17920,45824,0.35,-0.28,19291,0,0,,,,,,,,,,,,,,,,
691022.620,6468882.850,Ground,Ground,33.59,0.068  m,2,46901,-9.0,1,1,238572870.7286014,20992,22272,17152,36864,0.27,-0.25,19291,0,0,,,,,,,,,,,,,,,,
691021.780,6468882.780,Ground,Ground,33.58,0.073  m,2,48299,-9.0,1,1,238572870.7286042,25856,32000,19712,55808,0.37,-0.27,19291,0,0,,,,,,,,,,,,,,,,
691020.050,6468882.620,Ground,Ground,33.58,0.077  m,2,48474,-9.0,1,1,238572870.7286098,17920,23296,15360,48896,0.46,-0.35,19291,0,0,,,,,,,,,,,,,,,,
691028.780,6468884.440,Ground,Ground,33.70,0.041  m,2,50942,-9.0,1,1,238572870.7417670,11520,13824,8960,35584,0.51,-0.44,19291,0,0,,,,,,,,,,,,,,,,
691027.950,6468884.370,Ground,Ground,33.67,0.042  m,2,51466,-9.0,1,1,238572870.7417697,19712,22272,16128,42496,0.37,-0.31,19291,0,0,,,,,,,,,,,,,,,,
91720.060,6468851.100,Unclassified,Unclassified,33.28,2.18  m,1,31740,5.0,2,1,238572869.5527232,36352,35584,27136,49408,0.15,-0.16,19291,0,19,,,,,,,,,,,,,,,,
691720.250,6468851.120,Ground,Ground,31.27,0.17  m,2,51816,5.0,2,2,238572869.5527232,39424,38656,28160,51968,0.14,-0.15,19291,0,0,,,,,,,,,,,,,,,,
691720.620,6468852.440,Ground,Ground,31.17,0.027  m,2,53978,5.0,1,1,238572869.5659079,44288,41216,30464,50944,0.07,-0.11,19291,0,0,,,,,,,,,,,,,,,,
691720.650,6468853.590,Ground,Ground,31.16,0  m,2,53738,5.0,1,1,238572869.5790930,42496,39168,28416,50432,0.09,-0.13,19291,0,0,,,,,,,,,,,,,,,,
691720.610,6468854.490,Ground,Ground,31.19,0.0070000002  m,2,54110,5.0,1,1,238572869.5922779,41216,37632,28160,48640,0.08,-0.13,19291,0,0,,,,,,,,,,,,,,,,
691720.500,6468855.340,Ground,Ground,31.20,0.0099999998  m,2,55005,5.0,1,1,238572869.6054657,40960,38912,28928,51456,0.11,-0.14,19291,0,0,,,,,,,,,,,,,,,,
691720.180,6468856.360,Ground,Ground,31.28,0.172  m,2,53869,5.0,1,1,238572869.6186531,37632,35328,27392,48640,0.13,-0.16,19291,0,0,,,,,,,,,,,,,,,,
691720.210,6468857.600,Ground,Ground,31.53,0.46  m,2,54306,5.0,1,1,238572869.6318381,26112,28672,19200,52480,0.34,-0.29,19291,0,0,,,,,,,,,,,,,,,,
691720.370,6468858.600,Ground,Ground,31.58,0.236  m,2,54896,5.0,1,1,238572869.6450229,14592,17664,12544,42240,0.49,-0.41,19291,0,0,,,,,,,,,,,,,,,,
691738.750,6468859.210,Unclassified,Unclassified,31.31,0.19  m,1,48168,6.0,1,1,238572869.6317766,11520,11776,13056,14848,0.13,-0.12,19291,0,2,,,,,,,,,,,,,,,,
691719.170,6468860.390,Unclassified,Unclassified,31.94,0.379  m,1,53258,5.0,1,1,238572868.2133970,36352,34560,27136,43776,0.09,-0.12,19291,1,0,,,,,,,,,,,,,,,,
691719.870,6468860.850,Unclassified,Unclassified,31.88,0.475  m,1,51816,5.0,1,1,238572868.2133997,29952,28672,21248,39424,0.14,-0.16,19291,1,1,,,,,,,,,,,,,,,,
