X,Y,DESCRIPTION,LAYER,ELEVATION,HEIGHT_ABO,CLASS,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,RED,GREEN,BLUE,NIR,NDVI,NDWI,SOURCE_ID,SCANNER_CH,USER_DATA,KEY_POINT,ID,ERALDISE_N,KVARTALI_N,KATASTRI_N,key6,TO+ID_tree,TO+ID_1 bi,TO+ID_1 sp,TO+ID_1 pi,TO+ID_1 al,TO+ID_1 la,TO+ID_1 co,TO+ID_1 as,TO+ID_1 wi,TO+ID_1 gr,
"691064.050,6468284.280,High Vegetation,High Vegetation,34.54,3.242  m,5,43711,-13.0,3,2,238572866.6283154,14336,18432,11520,47360,0.54,-0.44,19291,1,33,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691063.430,6468283.880,Unclassified,Unclassified,31.38,0.0080000004  m,1,24706,-13.0,3,3,238572866.6283154,19968,24576,14336,51968,0.44,-0.36,19291,1,0,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691064.370,6468284.490,High Vegetation,High Vegetation,36.18,4.89  m,5,39320,-13.0,3,1,238572866.6283154,7936,10752,6656,37888,0.65,-0.56,19291,1,49,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691064.750,6468284.740,High Vegetation,High Vegetation,34.17,2.89  m,5,47665,-13.0,2,1,238572866.6283182,6144,7424,6400,31488,0.67,-0.62,19291,1,28,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691064.180,6468284.370,Ground,Ground,31.27,-0.025  m,2,39998,-13.0,2,2,238572866.6283182,14336,18432,11520,47360,0.54,-0.44,19291,1,0,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691064.920,6468284.860,Unclassified,Unclassified,31.43,0.155  m,1,53214,-13.0,1,1,238572866.6283209,3584,4608,4352,28672,0.78,-0.72,19291,1,1,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691066.650,6468285.980,High Vegetation,High Vegetation,36.61,5.29  m,5,40172,-13.0,3,2,238572866.6283237,10752,11008,9472,32768,0.51,-0.50,19291,1,53,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691065.620,6468285.320,Unclassified,Unclassified,31.36,0.075  m,1,46508,-13.0,3,3,238572866.6283237,7168,7424,6144,22528,0.52,-0.50,19291,1,0,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691066.880,6468286.130,High Vegetation,High Vegetation,37.82,6.506  m,5,36699,-13.0,3,1,238572866.6283237,6912,8192,6656,32768,0.65,-0.60,19291,1,65,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691067.220,6468286.350,High Vegetation,High Vegetation,35.57,4.256  m,5,34274,-13.0,2,1,238572866.6283264,18176,21504,16896,48640,0.46,-0.39,19291,1,42,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
