X,Y,DESCRIPTION,LAYER,ELEVATION,HEIGHT_ABO,CLASS,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,RED,GREEN,BLUE,NIR,NDVI,NDWI,SOURCE_ID,SCANNER_CH,USER_DATA,KEY_POINT,ID,ERALDISE_N,KVARTALI_N,KATASTRI_N,key6,TO+ID_tree,TO+ID_1 bi,TO+ID_1 sp,TO+ID_1 pi,TO+ID_1 al,TO+ID_1 la,TO+ID_1 co,TO+ID_1 as,TO+ID_1 wi,TO+ID_1 gr
691020.520,6468955.390,High Vegetation,High Vegetation,47.62,15.99  m,5,38469,-9.0,4,3,238572874.1058251,9984,10240,11264,12800,0.12,-0.11,19291,1,160,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691020.690,6468955.490,High Vegetation,High Vegetation,48.87,17.24  m,5,28529,-9.0,4,2,238572874.1058251,9728,9984,11264,11264,0.07,-0.06,19291,1,172,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691020.370,6468955.300,High Vegetation,High Vegetation,41.45,9.82  m,5,30626,-9.0,3,2,238572874.1058279,9216,9216,8704,13824,0.20,-0.20,19291,1,98,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691021.000,6468955.690,High Vegetation,High Vegetation,46.03,14.4  m,5,38687,-9.0,3,1,238572874.1058279,7424,7680,8192,11008,0.19,-0.18,19291,1,144,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691020.930,6468955.670,High Vegetation,High Vegetation,40.40,8.77  m,5,33532,-9.0,3,2,238572874.1058307,7936,8192,8704,10240,0.13,-0.11,19291,1,88,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691021.230,6468955.850,High Vegetation,High Vegetation,42.53,10.892  m,5,39801,-9.0,3,1,238572874.1058307,6912,7168,7680,8704,0.11,-0.10,19291,1,109,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691022.980,6468956.950,High Vegetation,High Vegetation,49.77,17.982  m,5,27590,-9.0,3,2,238572874.1058335,10240,9984,11264,12032,0.08,-0.09,19291,1,180,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691023.700,6468957.420,High Vegetation,High Vegetation,55.13,23.358  m,5,35869,-9.0,3,1,238572874.1058335,9216,8704,9984,9984,0.04,-0.07,19291,1,234,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691020.520,6468955.410,Ground,Ground,31.66,0.03  m,2,44148,-9.0,3,3,238572874.1058335,9472,9216,10496,12032,0.12,-0.13,19291,1,0,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691024.110,6468957.680,High Vegetation,High Vegetation,53.24,21.5  m,5,29315,-9.0,3,1,238572874.1058363,10240,10240,10752,11264,0.05,-0.05,19291,1,215,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691023.410,6468957.240,High Vegetation,High Vegetation,48.08,16.3  m,5,37202,-9.0,3,2,238572874.1058363,8192,7936,9216,11264,0.16,-0.17,19291,1,163,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691021.180,6468955.830,Ground,Ground,31.63,-0.0060000001  m,2,50614,-9.0,3,3,238572874.1058363,9216,9472,9984,11264,0.10,-0.09,19291,1,0,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691024.270,6468957.790,High Vegetation,High Vegetation,48.99,17.25  m,5,29927,-9.0,2,2,238572874.1058390,10240,10240,10752,11520,0.06,-0.06,19291,1,172,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691024.820,6468958.140,High Vegetation,High Vegetation,53.09,21.402  m,5,47185,-9.0,2,1,238572874.1058390,10752,11008,11520,12288,0.07,-0.05,19291,1,213,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691024.310,6468957.830,Unclassified,Unclassified,43.78,12.04  m,1,28682,-9.0,3,2,238572874.1058418,8704,8704,9216,10240,0.08,-0.08,19291,1,120,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691022.680,6468956.800,Ground,Ground,31.79,0.0089999996  m,2,51029,-9.0,3,3,238572874.1058418,10240,9984,11520,10240,0.00,-0.01,19291,1,0,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691024.590,6468958.000,High Vegetation,High Vegetation,45.91,14.215  m,5,31587,-9.0,3,1,238572874.1058418,7168,7424,7936,8448,0.08,-0.06,19291,1,141,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691023.380,6468957.240,Unclassified,Unclassified,31.80,0.019  m,1,51860,-9.0,1,1,238572874.1058447,9216,8960,10240,11264,0.10,-0.11,19291,1,0,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
691026.620,6468959.300,High Vegetation,High Vegetation,50.19,18.52  m,5,28158,-9.0,4,2,238572874.1058475,10752,11776,12032,13824,0.12,-0.08,19291,1,185,,774456.000000000000000,14.000000000000000,JS049,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS049="KVARTALI_N" and 14="ERALDISE_N";774456,сосна,20,27,53,0,0,0,0,0,0
